age,transaction_amount,account_balance,num_transactions_today,is_foreign_transaction,transaction_hour,prev_fraud_flag,merchant_distance_km,merchant_risk_score,is_fraud
61.0,10372.24,37377.96,26.0,1.0,1.0,0.0,3524.5,5.7,1
45.0,4619.26,49775.55,24.0,0.0,7.0,0.0,3137.7,6.2,1
20.0,8881.99,44017.22,45.0,1.0,14.0,0.0,2299.5,3.1,1
24.0,403.8,42403.6,2.0,0.0,2.0,0.0,3704.3,5.9,0
32.0,9051.89,15445.86,42.0,0.0,17.0,0.0,9.8,2.2,1
25.0,11065.18,19359.08,14.0,1.0,13.0,0.0,103.2,6.5,1
24.0,10701.78,15743.66,47.0,0.0,2.0,0.0,1613.4,8.4,0
52.0,505.45,4833.44,31.0,0.0,13.0,0.0,4277.4,2.8,0
63.0,,22462.18,18.0,0.0,8.0,0.0,1984.7,5.0,0
65.0,3526.53,29829.87,25.0,0.0,3.0,0.0,3380.4,5.3,1
48.0,,28655.69,23.0,0.0,10.0,1.0,4461.8,1.6,0
61.0,12421.21,27391.5,45.0,0.0,9.0,0.0,3735.0,5.6,1
45.0,528.79,21313.15,12.0,0.0,21.0,0.0,1905.1,4.2,0
20.0,2350.88,26212.66,46.0,0.0,8.0,0.0,626.6,1.1,1
41.0,1107.43,7784.82,41.0,0.0,10.0,1.0,151.0,7.8,1
71.0,1590.37,23979.8,1.0,0.0,1.0,1.0,323.5,5.9,1
49.0,86.55,22161.2,19.0,0.0,19.0,0.0,2608.6,1.7,0
74.0,11931.67,8925.15,2.0,0.0,13.0,0.0,68.3,7.0,0
51.0,10357.39,20909.9,25.0,0.0,16.0,0.0,4807.7,9.4,1
19.0,4511.84,39016.93,48.0,0.0,19.0,0.0,3481.1,8.3,1
52.0,491.0,42443.45,24.0,0.0,2.0,1.0,1199.1,5.3,0
65.0,12355.51,48013.71,3.0,0.0,12.0,0.0,700.0,4.9,0
56.0,7286.55,24071.73,16.0,0.0,15.0,0.0,196.7,7.2,0
71.0,10921.03,35604.91,47.0,0.0,17.0,0.0,3393.3,8.2,0
43.0,8615.24,44395.09,48.0,0.0,0.0,0.0,4965.4,3.8,1
70.0,1071.87,36241.1,24.0,0.0,6.0,0.0,2135.1,1.9,0
30.0,25.02,9155.94,37.0,0.0,10.0,0.0,2492.0,2.7,0
63.0,12851.45,27241.58,14.0,1.0,2.0,0.0,4792.9,5.8,1
29.0,589.1,48790.76,2.0,1.0,18.0,0.0,2443.4,7.8,0
74.0,3172.39,7039.15,28.0,0.0,22.0,0.0,30.7,5.7,0
18.0,13808.59,9840.88,27.0,0.0,10.0,0.0,2115.6,6.0,1
20.0,3046.43,41313.8,49.0,0.0,6.0,0.0,1994.9,2.7,0
24.0,10932.4,40830.43,9.0,0.0,9.0,0.0,4772.5,7.0,1
40.0,10074.39,26929.34,15.0,0.0,15.0,0.0,278.4,6.8,1
37.0_err,10517.94,37688.93,31.0,0.0,18.0,0.0,727.0,7.2,0
70.0,6893.66,20477.63,25.0,0.0,13.0,0.0,640.4,,0
22.0,6182.39,26379.86,39.0,0.0,3.0,0.0,4944.2,1.3,1
57.0,8227.95,38767.51,34.0,0.0,7.0,0.0,4160.4,2.8,0
33.0,7475.83,43269.57,7.0,0.0,1.0,0.0,3130.9,8.5,0
56.0,12880.9,27466.3,48.0,0.0,,0.0,296.7,3.8,0
56.0,10695.33,27662.29,42.0,0.0,8.0,0.0,2601.9,8.2,0
56.0,,36205.61,37.0,0.0,15.0,0.0,3181.3,3.7,0
61.0,2600.08,6130.12,1.0,0.0,3.0,0.0,,8.5,0
26.0,290.61,28459.9,49.0,0.0,20.0,0.0,1726.8,1.2,0
60.0,5020.92,36440.67,6.0,0.0,,0.0,2948.6,3.4,0
46.0,14035.97,10731.57,3.0,1.0,13.0,,4020.3,8.8,1
22.0,5988.98,32128.76,23.0,0.0,1.0,0.0,3256.0,7.1,1
36.0,6870.85,21637.16,1.0,1.0,13.0,0.0,1542.1,6.3,1
34.0,3615.9,9157.07,20.0,0.0,6.0,0.0,2643.7,3.3,0
45.0,408.7,13432.84,8.0,0.0,13.0,0.0,702.0,1.1,0
43.0,1529.57,47658.48,31.0,0.0,4.0,0.0,2021.0,1.0,0
57.0,8695.75,11248.91,36.0,0.0,5.0,0.0,3147.4,8.6,1
38.0,3141.47,27251.83,49.0,0.0,8.0,0.0,2759.1,3.8,1
41.0,11761.87,38652.61,20.0,0.0,1.0,0.0,4905.0,3.7,1
41.0,,2219.63,21.0,0.0,1.0,0.0,,9.2,1
54.0,3113.34,31995.14,12.0,0.0,13.0,0.0,1119.0,9.2,0
18.0,6906.28,43706.03,1.0,0.0,15.0,0.0,233.3,7.0,0
27.0,12293.55,652.54,2.0,0.0,4.0,1.0,67.1,3.7,1
33.0,7650.63,25715.98,30.0,1.0,17.0,0.0,730.3,1.5,1
46.0,5988.33,32444.48,10.0,0.0,2.0,0.0,4195.9,3.0,0
19.0,13921.42,39878.47,33.0,0.0,23.0,0.0,1288.1,6.1,0
37.0,2287.66,11179.42,,0.0,7.0,0.0,4034.2,2.4,0
37.0,14176.35,6994.71,5.0,1.0,7.0,0.0,3526.7,8.5,1
25.0,5176.21,29800.83,15.0,1.0,11.0,0.0,4445.7,4.5,1
70.0,3139.95,22199.51,24.0,0.0,18.0,,2743.0,3.5,0
26.0,2788.15,46581.49,44.0,0.0,6.0,0.0,3342.4,3.4,1
45.0,6747.56,3028.69,46.0,0.0,23.0,0.0,691.0,2.7,0
22.0,8950.04,23297.54,39.0,0.0,6.0,0.0,2661.5,3.6,0
52.0,601.42,47993.98,42.0,0.0,2.0,0.0,1870.8,3.9,0
35.0,12284.99,12360.32,16.0,0.0,15.0,,3627.4,9.4,1
36.0,1097.07,45802.1,19.0,0.0,1.0,0.0,581.2,7.6,0
47.0,11379.64,10679.75,16.0,0.0,19.0,0.0,3808.8,9.3,1
50.0,4831.08,43453.16,47.0,0.0,23.0,0.0,4747.1,1.2,0
62.0,4184.99,38354.88,7.0,0.0,17.0,0.0,1661.7,8.1,0
52.0,5614.9,13928.34,42.0,0.0,9.0,0.0,1468.7,8.6,0
43.0,3243.59,7725.31,49.0,0.0,23.0,0.0,2010.9,6.1,0
25.0,8057.53,47998.14,16.0,1.0,,0.0,2971.5,8.4,1
54.0,7580.67,6004.02,49.0,1.0,12.0,0.0,3074.2,8.6,1
18.0,6032.84,16014.34,22.0,1.0,9.0,0.0,1241.5,5.5,1
57.0,3981.1,3354.4,38.0,0.0,15.0,0.0,4519.6,2.2,1
67.0,2981.98,24502.95,48.0,0.0,9.0,0.0,4248.6,1.2,0
68.0,2608.49,28906.54,10.0,0.0,3.0,0.0,2010.1,1.3,0
24.0,7582.14,30463.43,38.0,0.0,7.0,0.0,4118.9,,1
70.0,6114.72,38244.06,3.0,,22.0,0.0,4956.3,4.3,0
48.0,9281.85,8457.58,44.0,0.0,1.0,1.0,1811.9,1.4,0
28.0,5944.38,,15.0,0.0,15.0,0.0,4071.8,1.8,1
48.0,14024.49,42654.47,10.0,0.0,2.0,1.0,1037.7,9.7,1
45.0,11106.72,42410.79,22.0,0.0,16.0,0.0,4342.3,6.7,1
47.0,8977.59,14668.61,38.0,0.0,4.0,0.0,312.7,3.0,0
51.0,11227.04,1786.84,4.0,0.0,2.0,0.0,1982.5,8.7,0
,5530.71,40054.18,11.0,1.0,20.0,0.0,2652.1,7.8,0
35.0,14036.59,1250.32,6.0,1.0,4.0,0.0,2189.8,4.2,1
65.0,270.41,36097.67,7.0,0.0,13.0,0.0,4131.3,5.4,0
51.0,7679.07,11876.43,33.0,0.0,12.0,0.0,92.4,6.5,0
62.0,1894.75,36105.01,4.0,0.0,4.0,0.0,1835.8,3.9,0
45.0,11967.28,30155.06,22.0,0.0,3.0,0.0,,6.2,0
35.0,3205.45,10165.81,17.0,0.0,10.0,0.0,1347.2,8.2,0
22.0,10300.16,35615.57,31.0,,16.0,0.0,1230.7,9.4,0
32.0,2460.68,,46.0,,13.0,0.0,3200.3,5.3,0
42.0,6539.72,43223.46,7.0,0.0,3.0,0.0,2642.9,3.4,0
21.0,3304.38,11962.37,12.0,0.0,20.0,0.0,3573.2,6.8,0
48.0,13416.4,18426.37,46.0,0.0,7.0,0.0,912.1,1.5,0
29.0,3895.42,37105.66,29.0,0.0,16.0,0.0,4057.6,7.4,1
53.0,9231.19,23891.5,38.0,0.0,10.0,0.0,2892.0,4.8,0
60.0,1799.7,49090.29,24.0,0.0,21.0,0.0,2260.4,5.6,0
50.0,3658.89,10549.25,26.0,1.0,10.0,0.0,4592.1,6.7,1
47.0,1462.91,43819.51,27.0,1.0,6.0,0.0,2968.9,6.7,1
46.0,488.48,31117.76,42.0,1.0,9.0,0.0,3884.2,9.0,1
74.0,4774.37,15780.26,19.0,0.0,6.0,0.0,500.1,5.2,0
57.0,7695.15,33873.21,10.0,,4.0,1.0,,,1
28.0,2970.38,26149.23,35.0,0.0,2.0,0.0,61.5,2.4,0
62.0,6277.44,7793.53,45.0,0.0,2.0,0.0,1356.0,4.7,0
52.0,9689.16,5426.39,36.0,0.0,,0.0,1304.8,1.9,0
68.0,13305.34,1766.72,27.0,0.0,0.0,0.0,4557.4,5.4,0
65.0,178.97,20684.05,18.0,0.0,1.0,0.0,33.2,9.0,0
50.0,2464.73,21508.95,11.0,0.0,15.0,0.0,3754.0,2.0,0
29.0,12841.52,9901.95,19.0,0.0,1.0,1.0,504.0,5.8,1
74.0,7743.18,15588.64,15.0,0.0,,0.0,44.6,7.0,0
45.0,7456.56,8546.43,32.0,0.0,8.0,0.0,1739.0,2.5,0
59.0,10581.94,2990.48,36.0,0.0,4.0,0.0,608.7,6.5,0
43.0,11597.38,41208.59,26.0,0.0,16.0,0.0,4857.1,4.8,1
24.0,12327.77,3806.03,47.0,0.0,21.0,0.0,4345.1,4.6,1
71.0,6359.63,9516.01,30.0,0.0,2.0,0.0,3381.2,1.7,0
23.0,990.07,24941.64,19.0,0.0,22.0,0.0,1118.0,8.7,1
18.0,3831.01,31965.71,36.0,0.0,18.0,0.0,2739.4,7.9,1
70.0,8029.56,8632.54,2.0,0.0,13.0,0.0,1470.5,5.2,0
52.0,9005.17,38786.79,11.0,0.0,4.0,0.0,3619.6,7.9,1
37.0,5951.09,42583.19,39.0,0.0,23.0,0.0,1729.5,5.6,0
39.0,8604.95,19647.53,35.0,0.0,7.0,0.0,2658.1,1.8,0
21.0,5758.31,19859.26,47.0,0.0,6.0,0.0,4625.8,3.3,1
44.0,9720.58,17740.56,33.0,0.0,21.0,0.0,4069.8,1.6,0
40.0,5307.32,17325.78,27.0,0.0,19.0,0.0,3827.0,7.2,0
21.0,3621.9,18260.56,41.0,0.0,20.0,0.0,1530.2,2.9,0
49.0,697.06,39343.16,13.0,0.0,0.0,0.0,820.9,6.3,0
44.0,11721.21,17132.44,13.0,1.0,22.0,0.0,4821.4,7.1,1
56.0,11363.48,9413.92,43.0,1.0,17.0,0.0,277.2,1.6,1
60.0,13478.94,49004.66,11.0,0.0,,0.0,4867.6,9.3,1
27.0,10320.74,26668.67,30.0,0.0,0.0,1.0,1194.2,7.3,1
46.0,5532.94,32503.83,30.0,0.0,12.0,0.0,450.2,9.5,0
20.0,4645.88,38538.91,39.0,1.0,1.0,0.0,2513.8,3.3,1
54.0,7607.69,38257.83,19.0,0.0,18.0,0.0,2273.0,6.5,0
51.0,5710.45,14170.9,13.0,0.0,0.0,0.0,3948.8,6.9,1
32.0,2555.28,4554.95,11.0,0.0,22.0,0.0,3745.9,,1
62.0,707.9,2872.22,21.0,1.0,4.0,0.0,1296.7,1.4,0
,3938.54,2015.61,3.0,0.0,18.0,0.0,3350.3,7.0,0
49.0,13478.96,26441.74,33.0,0.0,22.0,0.0,4020.8,9.7,1
24.0,3178.26,,16.0,0.0,17.0,0.0,34.0,2.7,0
51.0,10533.16,16223.13,7.0,0.0,16.0,0.0,4834.9,4.2,0
30.0,2435.65,6225.51,45.0,0.0,0.0,0.0,4010.1,3.1,1
,7966.87,15219.09,10.0,0.0,19.0,0.0,3681.1,9.4,0
26.0,10483.21,36041.35,12.0,0.0,4.0,0.0,4493.2,2.9,1
73.0,,24965.65,24.0,0.0,16.0,0.0,783.4,5.6,0
49.0,8870.38,,15.0,0.0,23.0,0.0,1064.4,1.2,0
65.0,1616.42,48508.32,8.0,0.0,2.0,0.0,1881.3,4.2,0
56.0,3333.24,2583.76,16.0,1.0,14.0,1.0,1817.8,2.8,1
27.0,9779.19,19252.33,49.0,0.0,22.0,1.0,4587.3,9.4,1
58.0,6564.72,11207.02,9.0,0.0,3.0,0.0,1746.1,2.0,0
64.0,6035.43,21612.82,26.0,1.0,1.0,0.0,4153.7,3.7,1
58.0,8064.59,17241.3,11.0,0.0,13.0,0.0,580.7,7.1,0
20.0,4294.82,40403.88,8.0,0.0,19.0,0.0,840.2,10.0,0
18.0,6597.92,24201.45,26.0,0.0,13.0,0.0,3090.0,6.6,1
27.0,6180.19,48349.71,14.0,1.0,11.0,0.0,3748.1,7.6,1
65.0,394.12,303.38,34.0,1.0,21.0,0.0,1353.2,8.0,0
47.0,7794.36,21255.58,42.0,,19.0,0.0,429.9,9.9,0
60.0,13984.33,19931.05,3.0,0.0,17.0,0.0,2691.3,9.2,0
25.0,6896.62,8494.45,36.0,1.0,19.0,0.0,11.8,5.3,0
29.0,4993.48,41211.46,21.0,0.0,6.0,0.0,1678.2,2.2,0
18.0,3378.33,24692.38,45.0,0.0,4.0,0.0,3841.6,8.5,0
52.0,14325.94,5086.3,5.0,0.0,7.0,0.0,4915.2,9.3,1
40.0,11081.87,45709.75,49.0,0.0,22.0,0.0,1896.7,7.3,1
32.0,8446.82,13307.97,4.0,0.0,15.0,0.0,1272.5,9.8,0
30.0,1862.72,251.27,28.0,0.0,20.0,1.0,404.8,1.7,1
28.0,3465.06,46643.38,28.0,,14.0,0.0,2665.4,4.3,1
45.0,2708.05,15697.02,47.0,1.0,1.0,1.0,1280.7,5.5,1
35.0,1920.14,13883.02,26.0,0.0,17.0,1.0,1748.1,7.0,1
34.0,299.2,39789.09,44.0,0.0,7.0,0.0,510.3,6.3,0
61.0,13642.62,33475.84,48.0,1.0,18.0,0.0,3312.2,9.5,1
36.0,4459.27,40733.59,24.0,0.0,15.0,1.0,4801.6,5.4,1
28.0,6113.91,13436.49,47.0,0.0,15.0,0.0,3732.7,1.4,0
38.0,3136.99,39256.77,19.0,0.0,1.0,0.0,2.6,1.2,0
34.0,11878.02,25634.33,32.0,0.0,13.0,0.0,3944.6,3.2,1
42.0,2663.29,24926.43,27.0,0.0,22.0,0.0,1217.6,1.7,0
27.0,2798.33,22079.8,23.0,0.0,1.0,0.0,768.2,9.3,0
46.0,13584.21,49069.62,26.0,0.0,1.0,0.0,4709.0,6.1,1
48.0,628.93,,8.0,0.0,0.0,0.0,136.7,3.3,0
19.0,,20294.08,26.0,0.0,11.0,0.0,4402.6,9.4,1
60.0,4795.57,36122.95,48.0,1.0,1.0,0.0,2978.3,7.1,1
21.0,9674.71,24863.14,26.0,1.0,19.0,0.0,1010.9,7.4,1
53.0,7396.75,30340.28,13.0,0.0,1.0,0.0,3731.7,4.9,1
69.0,4835.52,38298.86,16.0,1.0,9.0,0.0,2039.4,3.1,0
71.0,4946.65,10488.99,3.0,0.0,19.0,0.0,2864.6,9.3,1
28.0,7752.98,28125.15,20.0,0.0,19.0,0.0,3414.3,1.8,0
28.0,2082.16,37945.94,29.0,0.0,18.0,0.0,363.9,4.3,0
36.0,8887.34,270.28,38.0,0.0,0.0,0.0,1954.6,4.3,1
59.0,3945.4,46704.29,15.0,1.0,20.0,0.0,1929.6,3.4,1
19.0,11661.93,29427.18,6.0,0.0,18.0,0.0,4695.5,6.0,1
43.0,7956.29,9693.72,40.0,0.0,5.0,0.0,2276.1,2.9,1
32.0,8814.17,42496.02,42.0,0.0,1.0,0.0,3135.4,8.5,0
57.0,6306.11,18206.1,10.0,0.0,19.0,0.0,1384.7,8.5,0
69.0,6738.74,24815.86,42.0,0.0,20.0,0.0,2356.6,6.6,1
59.0,7771.69,835.71,8.0,0.0,0.0,0.0,4356.9,1.3,0
,2080.54,34760.41,47.0,0.0,3.0,0.0,4058.9,6.1,1
25.0,5248.29,12823.8,29.0,0.0,6.0,0.0,4458.2,6.4,1
68.0,1927.31,1465.37,1.0,0.0,5.0,0.0,2652.9,2.0,0
34.0,4867.01,48674.09,46.0,0.0,23.0,0.0,3187.4,4.5,1
28.0,7840.44,20094.49,37.0,0.0,2.0,0.0,4057.3,8.9,0
68.0,10619.99,11957.76,16.0,0.0,7.0,0.0,,8.9,1
46.0,11770.67,31703.59,42.0,0.0,19.0,0.0,1264.3,3.2,0
42.0,10884.0,38804.71,48.0,0.0,,0.0,4813.6,5.5,1
67.0,4436.41,41802.55,40.0,0.0,11.0,0.0,,8.8,0
25.0,12247.68,37018.95,42.0,0.0,21.0,0.0,,8.9,1
43.0,1178.85,22429.65,40.0,0.0,10.0,0.0,181.2,2.3,0
44.0,6598.37,40453.26,22.0,0.0,8.0,0.0,2015.4,3.1,0
46.0,12325.63,18348.79,29.0,0.0,20.0,0.0,3865.0,5.7,1
29.0,11829.46,398.16,46.0,1.0,21.0,0.0,3543.3,,1
42.0,14108.64,12064.44,46.0,0.0,3.0,0.0,150.8,3.2,0
51.0,7274.6,34968.33,10.0,0.0,11.0,0.0,4822.4,,0
65.0,1171.38,25700.76,12.0,0.0,14.0,0.0,4999.1,8.4,1
36.0,14364.36,30766.35,44.0,0.0,17.0,0.0,7.9,4.6,0
69.0,4359.55,28001.26,2.0,0.0,8.0,1.0,1033.9,,1
66.0,6555.67,17839.11,29.0,0.0,15.0,0.0,3430.4,2.6,1
53.0,8840.38,25162.08,32.0,1.0,13.0,0.0,1387.9,2.1,0
67.0,4244.04,3178.06,20.0,0.0,18.0,0.0,3486.6,8.2,0
40.0,196.63,40186.71,30.0,0.0,19.0,0.0,3819.1,2.8,1
24.0,9592.09,34153.06,27.0,0.0,21.0,0.0,134.7,1.1,0
58.0,3818.86,7950.88,43.0,0.0,20.0,0.0,4419.1,,1
21.0,5897.13,25708.47,18.0,0.0,17.0,0.0,4507.2,7.1,0
57.0,13863.08,2717.29,4.0,1.0,0.0,0.0,1735.1,4.1,0
23.0,9015.56,36598.49,3.0,0.0,5.0,0.0,1891.3,10.0,1
63.0,10082.32,10480.69,5.0,0.0,18.0,0.0,3075.4,1.5,0
25.0,11760.8,13454.82,45.0,0.0,11.0,0.0,815.3,2.4,0
40.0,10146.01,18677.51,23.0,1.0,7.0,0.0,3998.0,4.4,1
23.0,13440.56,7158.43,44.0,1.0,13.0,0.0,929.6,6.2,1
51.0,9307.97,23467.81,27.0,0.0,17.0,0.0,2444.4,8.1,0
40.0,721.08,44680.97,15.0,0.0,5.0,0.0,821.6,7.6,0
33.0,4138.55,22977.1,41.0,0.0,18.0,0.0,2260.9,7.4,0
24.0,5845.68,11570.91,35.0,0.0,21.0,0.0,4408.0,8.6,1
42.0,2559.89,48030.49,5.0,,23.0,0.0,2991.9,8.5,0
72.0,983.78,44683.96,11.0,0.0,18.0,0.0,2442.9,5.5,0
52.0,8291.75,2406.4,4.0,1.0,19.0,0.0,349.2,4.9,0
52.0,3052.91,27386.47,35.0,0.0,8.0,0.0,4388.7,4.5,0
69.0,12245.61,16406.21,28.0,0.0,18.0,0.0,3743.2,3.9,1
61.0,12173.0,13731.81,15.0,0.0,19.0,0.0,146.9,6.3,0
58.0,10218.66,5188.41,13.0,1.0,10.0,0.0,3932.0,4.3,1
35.0,3544.58,7193.03,15.0,0.0,0.0,0.0,2452.9,,0
47.0,8552.76,,,0.0,9.0,0.0,672.7,3.1,0
58.0,13527.07,28033.46,12.0,0.0,,0.0,2286.8,3.8,0
35.0,7233.65,7872.02,16.0,0.0,17.0,0.0,1306.8,,0
69.0,,45960.01,14.0,0.0,12.0,0.0,3326.4,8.5,1
66.0,8655.55,26231.57,49.0,0.0,1.0,1.0,1626.4,1.8,1
71.0,8294.9,,13.0,0.0,7.0,0.0,3264.7,6.4,0
19.0,490.51,32584.88,12.0,1.0,21.0,0.0,2134.2,7.3,1
56.0,6107.47,754.31,45.0,0.0,10.0,0.0,2528.3,,0
54.0,7475.76,19676.92,44.0,0.0,6.0,0.0,3405.3,5.2,0
54.0,5473.38,43282.79,43.0,0.0,19.0,0.0,2586.7,1.9,0
62.0,10704.73,21567.71,8.0,0.0,1.0,0.0,2951.6,7.2,0
64.0,4882.16,10100.05,46.0,0.0,3.0,0.0,2739.1,9.9,1
43.0,473.99,24521.32,27.0,1.0,2.0,0.0,1948.4,4.2,1
40.0,7254.85,6781.19,41.0,0.0,0.0,0.0,3860.8,3.4,0
33.0_err,8042.1,14229.73,18.0,0.0,8.0,0.0,176.4,,0
39.0,4880.82,37135.42,46.0,0.0,12.0,0.0,509.8,6.8,0
29.0,2983.84,2105.94,38.0,0.0,19.0,0.0,2470.2,9.3,1
56.0,3831.41,30714.39,47.0,0.0,22.0,0.0,2915.6,7.0,0
73.0,12698.02,13449.79,18.0,0.0,23.0,0.0,786.8,1.1,0
74.0,13465.88,40315.04,36.0,0.0,16.0,0.0,4789.0,7.7,1
42.0,13358.02,39712.41,35.0,0.0,23.0,0.0,4158.2,7.1,1
36.0,750.08,47104.47,40.0,1.0,10.0,0.0,3287.3,1.0,0
56.0,7574.2,37937.96,25.0,0.0,11.0,0.0,1601.5,4.8,0
20.0,4482.03,34168.43,18.0,0.0,16.0,0.0,588.4,2.8,0
